iter	Passed	Remaining
0	56	56794
1	57	28533
2	57	19102
3	57	14381
4	58	11559
5	58	9676
6	58	8332
7	59	7321
8	59	6536
9	59	5908
10	60	5398
11	60	4969
12	60	4605
13	60	4295
14	61	4025
15	61	3797
16	62	3592
17	62	3408
18	62	3242
19	63	3091
20	63	2955
21	63	2832
22	64	2719
23	64	2617
24	64	2521
25	64	2432
26	65	2350
27	65	2274
28	65	2202
29	66	2136
30	66	2074
31	66	2017
32	66	1962
33	67	1910
34	67	1862
35	67	1816
36	68	1773
37	68	1731
38	68	1693
39	69	1656
40	69	1621
41	69	1587
42	69	1555
43	70	1524
44	70	1496
45	70	1470
46	71	1443
47	71	1418
48	71	1393
49	72	1369
50	72	1346
51	72	1324
52	72	1303
53	73	1282
54	73	1263
55	73	1245
56	74	1226
57	74	1208
58	74	1191
59	74	1174
60	75	1158
61	75	1142
62	75	1127
63	76	1112
64	76	1098
65	76	1084
66	76	1071
67	77	1058
68	77	1047
69	77	1034
70	78	1022
71	78	1010
72	78	999
73	78	988
74	79	977
75	79	967
76	79	956
77	80	946
78	80	937
79	80	927
80	80	918
81	81	909
82	81	898
83	81	889
84	81	881
85	82	873
86	82	865
87	82	857
88	83	850
89	83	842
90	83	835
91	83	827
92	84	820
93	84	813
94	84	807
95	84	800
96	85	793
97	85	787
98	85	780
99	86	774
100	86	768
101	86	762
102	86	757
103	87	751
104	87	745
105	87	740
106	88	734
107	88	729
108	88	724
109	88	719
110	89	714
111	89	709
112	89	704
113	90	699
114	90	695
115	90	690
116	90	685
117	91	681
118	91	677
119	91	673
120	92	668
121	92	664
122	92	660
123	92	656
124	93	652
125	93	648
126	93	644
127	94	640
128	94	637
129	94	633
130	94	629
131	95	625
132	95	622
133	95	618
134	95	614
135	96	611
136	96	608
137	96	605
138	97	602
139	97	598
140	97	595
141	97	591
142	98	588
143	98	585
144	98	582
145	99	579
146	99	576
147	99	573
148	99	570
149	100	567
150	100	564
151	100	561
152	101	559
153	101	556
154	101	553
155	101	551
156	102	548
157	102	545
158	102	543
159	103	540
160	103	537
161	103	535
162	103	532
163	104	530
164	104	527
165	104	525
166	104	522
167	105	520
168	105	518
169	105	516
170	106	514
171	106	511
172	106	509
173	106	507
174	107	505
175	107	503
176	107	500
177	107	498
178	108	496
179	108	494
180	108	492
181	109	490
182	109	488
183	109	486
184	109	484
185	110	482
186	110	480
187	110	478
188	110	476
189	111	474
190	111	472
191	111	470
192	112	468
193	112	466
194	112	464
195	112	463
196	113	461
197	113	459
198	113	458
199	114	456
200	114	454
201	114	452
202	114	451
203	115	449
204	115	447
205	115	446
206	116	444
207	116	443
208	116	441
209	116	439
210	117	438
211	117	436
212	117	435
213	118	433
214	118	432
215	118	430
216	118	429
217	119	427
218	119	425
219	119	424
220	120	423
221	120	421
222	120	420
223	120	418
224	121	417
225	121	415
226	121	414
227	122	413
228	122	411
229	122	410
230	122	409
231	123	407
232	123	406
233	123	404
234	123	403
235	124	402
236	124	401
237	124	399
238	125	398
239	125	397
240	125	395
241	125	394
242	126	393
243	126	392
244	126	390
245	127	389
246	127	388
247	127	387
248	127	385
249	128	384
250	128	383
251	128	381
252	128	380
253	129	379
254	129	378
255	129	377
256	130	376
257	130	375
258	130	374
259	131	372
260	131	371
261	131	370
262	131	369
263	132	368
264	132	367
265	132	366
266	132	364
267	133	364
268	133	362
269	133	361
270	134	360
271	134	359
272	134	358
273	134	357
274	135	356
275	135	355
276	135	354
277	136	353
278	136	352
279	136	351
280	136	350
281	137	349
282	137	348
283	137	347
284	138	346
285	138	345
286	138	344
287	138	343
288	139	342
289	139	341
290	139	340
291	140	339
292	140	338
293	140	337
294	140	336
295	141	335
296	141	334
297	141	334
298	142	333
299	142	332
300	142	331
301	143	330
302	143	329
303	143	328
304	144	328
305	144	327
306	144	326
307	144	325
308	145	324
309	145	323
310	145	322
311	146	322
312	146	321
313	146	320
314	146	319
315	147	318
316	147	317
317	147	316
318	147	315
319	148	314
320	148	314
321	148	313
322	149	312
323	149	311
324	149	310
325	149	309
326	150	309
327	150	308
328	150	307
329	151	306
330	151	306
331	151	305
332	151	304
333	152	303
334	152	302
335	152	301
336	153	301
337	153	300
338	153	299
339	153	298
340	154	297
341	154	297
342	154	296
343	154	295
344	155	294
345	155	293
346	155	293
347	156	292
348	156	291
349	156	290
350	156	290
351	157	289
352	157	288
353	157	287
354	158	287
355	158	286
356	158	285
357	158	284
358	159	284
359	159	283
360	159	282
361	160	281
362	160	281
363	160	280
364	160	279
365	161	278
366	161	278
367	161	277
368	161	276
369	162	276
370	162	275
371	162	274
372	162	273
373	163	273
374	163	272
375	163	271
376	163	270
377	164	270
378	164	269
379	164	268
380	164	268
381	165	267
382	165	266
383	165	265
384	166	265
385	166	264
386	166	263
387	166	263
388	167	262
389	167	261
390	167	261
391	168	260
392	168	260
393	168	259
394	168	258
395	169	258
396	169	257
397	169	256
398	170	256
399	170	255
400	170	254
401	171	254
402	171	254
403	172	254
404	172	253
405	172	252
406	173	252
407	173	251
408	173	250
409	173	250
410	174	249
411	174	248
412	174	248
413	174	247
414	175	246
415	175	246
416	175	245
417	175	244
418	176	244
419	176	243
420	176	243
421	177	242
422	177	241
423	177	241
424	177	240
425	178	240
426	178	239
427	178	238
428	178	238
429	179	237
430	179	236
431	179	236
432	179	235
433	180	234
434	180	234
435	180	233
436	180	233
437	181	232
438	181	232
439	181	231
440	182	230
441	182	230
442	182	229
443	182	229
444	183	228
445	183	227
446	183	227
447	184	226
448	184	226
449	184	225
450	184	225
451	185	224
452	186	224
453	186	224
454	186	223
455	187	223
456	187	222
457	187	222
458	187	221
459	188	220
460	188	220
461	189	220
462	189	219
463	189	219
464	190	218
465	190	218
466	190	217
467	191	217
468	191	216
469	191	216
470	191	215
471	192	215
472	192	214
473	192	213
474	192	213
475	193	212
476	193	212
477	193	211
478	194	211
479	194	210
480	194	209
481	194	209
482	195	208
483	195	208
484	195	207
485	195	207
486	196	206
487	196	206
488	196	205
489	197	205
490	197	204
491	197	204
492	198	203
493	198	203
494	198	202
495	198	202
496	199	201
497	199	200
498	199	200
499	199	199
500	200	199
501	200	198
502	200	198
503	201	197
504	201	197
505	201	196
506	201	196
507	201	195
508	202	195
509	202	194
510	202	194
511	203	193
512	203	193
513	204	192
514	204	192
515	204	191
516	204	191
517	205	190
518	205	190
519	205	189
520	206	189
521	206	188
522	206	188
523	206	187
524	207	187
525	207	187
526	207	186
527	208	186
528	208	185
529	208	185
530	209	184
531	209	184
532	209	183
533	209	183
534	210	182
535	210	182
536	210	181
537	210	181
538	211	180
539	211	180
540	211	179
541	211	179
542	212	178
543	212	178
544	212	177
545	213	177
546	213	176
547	213	176
548	214	175
549	214	175
550	214	174
551	214	174
552	215	173
553	215	173
554	215	172
555	215	172
556	216	171
557	216	171
558	216	170
559	216	170
560	217	170
561	217	169
562	217	169
563	218	168
564	218	168
565	218	167
566	219	167
567	219	166
568	219	166
569	219	165
570	220	165
571	220	165
572	220	164
573	221	164
574	221	163
575	221	163
576	221	162
577	222	162
578	222	161
579	222	161
580	223	160
581	223	160
582	223	159
583	223	159
584	224	159
585	224	158
586	224	158
587	224	157
588	225	157
589	225	156
590	225	156
591	225	155
592	226	155
593	226	154
594	226	154
595	227	153
596	227	153
597	227	152
598	227	152
599	228	152
600	228	151
601	228	151
602	228	150
603	229	150
604	229	149
605	229	149
606	230	148
607	230	148
608	230	148
609	230	147
610	231	147
611	231	146
612	231	146
613	232	145
614	232	145
615	232	145
616	232	144
617	233	144
618	233	143
619	233	143
620	233	142
621	234	142
622	234	141
623	234	141
624	235	141
625	235	140
626	235	140
627	235	139
628	236	139
629	236	138
630	236	138
631	237	138
632	237	137
633	237	137
634	237	136
635	238	136
636	238	135
637	238	135
638	238	135
639	239	134
640	239	134
641	239	133
642	240	133
643	240	132
644	240	132
645	240	131
646	241	131
647	241	131
648	241	130
649	241	130
650	242	129
651	242	129
652	242	128
653	243	128
654	243	128
655	243	127
656	243	127
657	244	126
658	244	126
659	244	126
660	244	125
661	245	125
662	245	124
663	245	124
664	246	124
665	246	123
666	246	123
667	247	122
668	247	122
669	247	121
670	247	121
671	248	121
672	248	120
673	248	120
674	248	119
675	249	119
676	249	119
677	249	118
678	249	118
679	250	117
680	250	117
681	250	116
682	250	116
683	251	116
684	251	115
685	251	115
686	252	114
687	252	114
688	252	114
689	252	113
690	253	113
691	253	112
692	253	112
693	254	112
694	254	111
695	254	111
696	254	110
697	255	110
698	255	109
699	255	109
700	256	109
701	256	108
702	256	108
703	257	108
704	257	107
705	257	107
706	257	106
707	258	106
708	258	106
709	258	105
710	259	105
711	259	104
712	259	104
713	260	104
714	260	103
715	260	103
716	260	102
717	261	102
718	261	102
719	261	101
720	262	101
721	262	100
722	262	100
723	262	100
724	263	99
725	263	99
726	263	98
727	263	98
728	264	98
729	264	97
730	264	97
731	264	96
732	265	96
733	265	96
734	265	95
735	265	95
736	266	95
737	266	94
738	266	94
739	267	93
740	267	93
741	267	93
742	268	92
743	268	92
744	268	91
745	268	91
746	269	91
747	269	90
748	269	90
749	269	89
750	270	89
751	270	89
752	270	88
753	270	88
754	271	88
755	271	87
756	271	87
757	271	86
758	272	86
759	272	86
760	272	85
761	272	85
762	273	84
763	273	84
764	273	84
765	274	83
766	274	83
767	274	82
768	274	82
769	275	82
770	275	81
771	275	81
772	276	81
773	276	80
774	276	80
775	277	79
776	277	79
777	277	79
778	277	78
779	278	78
780	278	78
781	278	77
782	278	77
783	279	76
784	279	76
785	279	76
786	279	75
787	280	75
788	280	75
789	280	74
790	281	74
791	281	73
792	281	73
793	281	73
794	282	72
795	282	72
796	282	72
797	283	71
798	283	71
799	283	70
800	283	70
801	284	70
802	284	69
803	284	69
804	285	69
805	285	68
806	285	68
807	285	67
808	286	67
809	286	67
810	286	66
811	287	66
812	287	66
813	287	65
814	287	65
815	288	64
816	288	64
817	288	64
818	289	63
819	289	63
820	289	63
821	289	62
822	290	62
823	290	62
824	290	61
825	290	61
826	291	60
827	291	60
828	291	60
829	292	59
830	292	59
831	292	59
832	292	58
833	293	58
834	293	57
835	293	57
836	293	57
837	294	56
838	294	56
839	294	56
840	294	55
841	295	55
842	295	55
843	295	54
844	296	54
845	296	53
846	296	53
847	297	53
848	297	52
849	297	52
850	297	52
851	298	51
852	298	51
853	298	51
854	298	50
855	299	50
856	299	49
857	299	49
858	300	49
859	300	48
860	300	48
861	300	48
862	301	47
863	301	47
864	301	47
865	302	46
866	302	46
867	302	46
868	302	45
869	303	45
870	303	44
871	303	44
872	303	44
873	304	43
874	304	43
875	304	43
876	305	42
877	305	42
878	305	42
879	305	41
880	306	41
881	306	41
882	306	40
883	307	40
884	307	39
885	307	39
886	307	39
887	308	38
888	308	38
889	308	38
890	309	37
891	309	37
892	309	37
893	310	36
894	310	36
895	310	36
896	310	35
897	311	35
898	311	34
899	311	34
900	311	34
901	312	33
902	312	33
903	312	33
904	313	32
905	313	32
906	313	32
907	314	31
908	314	31
909	314	31
910	314	30
911	315	30
912	315	30
913	315	29
914	315	29
915	316	28
916	316	28
917	316	28
918	316	27
919	317	27
920	317	27
921	317	26
922	318	26
923	318	26
924	318	25
925	319	25
926	319	25
927	319	24
928	319	24
929	320	24
930	320	23
931	320	23
932	321	23
933	321	22
934	321	22
935	322	22
936	322	21
937	322	21
938	322	20
939	323	20
940	323	20
941	323	19
942	324	19
943	324	19
944	324	18
945	324	18
946	325	18
947	325	17
948	325	17
949	326	17
950	326	16
951	326	16
952	326	16
953	327	15
954	327	15
955	327	15
956	328	14
957	328	14
958	328	14
959	328	13
960	329	13
961	329	13
962	329	12
963	330	12
964	330	11
965	330	11
966	330	11
967	331	10
968	331	10
969	331	10
970	332	9
971	332	9
972	332	9
973	333	8
974	333	8
975	333	8
976	333	7
977	334	7
978	334	7
979	334	6
980	335	6
981	335	6
982	335	5
983	335	5
984	336	5
985	336	4
986	336	4
987	337	4
988	337	3
989	337	3
990	338	3
991	338	2
992	338	2
993	338	2
994	339	1
995	339	1
996	339	1
997	340	0
998	340	0
999	340	0
